station_id,uuid,operator_id,usage_type_id,usage_cost,name,address,town,state,postcode,country_id,latitude,longitude,status_type_id,date_created
475680,7ABA5933-C3BF-4A73-AFDB-B3A8B64802C0,3818.0,4,21++,Amrai Resort Tata.Ev,Amrai Resort,Satara,Mh,,106,17.63735818944548,74.01217807085504,50,2026-02-08T09:58:00Z
475673,D535097B-CC13-4555-B168-7D84CAC4ED30,3818.0,4,21++,Tata.Ev Vapi,Shanti Complex ,Vapi,Gujarat,,106,20.38011025856339,72.9144548806346,50,2026-02-08T09:24:00Z
475671,3FF50357-EA64-489C-BA35-11E56A151BFE,3957.0,4,14+GST,BPCL EV Dharamshala Road,Dharamshala Road,Dharamshala ,Himachal Pradesh,176200,106,32.21450538531376,76.31693962970235,50,2026-02-08T09:16:00Z
475660,3B9AEED8-B084-49EF-8B49-281533A4C920,3858.0,4,,Bundelkhand Expressway 188 Km Rest Area,Bundelkhand Expressway बुंदेलखंड एक्सप्रेसवे,,Uttar Pradesh,,106,26.33694245728,79.37007254737911,50,2026-02-08T06:47:00Z
475659,73739C6C-B159-420A-A246-3A6C9DD2CE15,3858.0,4,,Bundelkhand Expressway Chitrakoot Toll,Bundelkhand Expressway बुंदेलखंड एक्सप्रेसवे,,Uttar Pradesh,210202,106,25.252444564396335,80.74364419320561,50,2026-02-08T04:06:00Z
475550,99F08B2E-B581-492A-A314-9D56782014FA,3817.0,4,21,JIO-BP Pulse,NH-44,Armoor,Telangana,503200,106,18.82290770769148,78.32172267909633,50,2026-02-07T05:08:00Z
475512,03BEAE00-E649-46A2-951C-6F4BC930F096,3818.0,4,,NH44,NH44,,Telangana,509128,106,15.886334147441593,78.01636638843978,50,2026-02-06T07:46:00Z
475401,DB9666B2-7B39-4A75-B34C-1FB0118E7624,3539.0,4,23.5/kWh,Sai Restaurant & Cafe,NH48,Narayanwadi,Maharashtra,,106,17.22435243142344,74.18016473328942,50,2026-02-02T00:50:00Z
475337,583690D9-3F8C-4F0D-9C3A-2700E0FB0B6C,3957.0,4,,Ishyu Restaurant Jetcharge,Near Gopalpura Interchange ,,Rajasthan,,106,24.89141834594497,75.96482113417042,50,2026-02-01T14:21:00Z
474598,AA3A6C1D-6937-4B9F-AA9A-78318359B323,3780.0,4,,Al Ameemi Fast Charging Station,Payyanur Main Road,Payyanur,Kerala,671350,106,12.105660473422844,75.21173432031628,50,2026-01-23T12:49:00Z
474596,DDF24CBB-9FF7-4349-869B-E55B520F724C,3780.0,4,,EQ TP Power | Vellur,NH 66 Kasaragod Kannur Road,Vellur,Kerala,670307,106,12.149897992825927,75.2126366440724,50,2026-01-23T12:46:00Z
474595,5598E661-799C-459A-9C2B-BB187DF10232,3780.0,4,,EQ Sprinkle EVCS | Thaliparamba,NH 66,Thaliparamba,Kerala,670143,106,12.048654635370426,75.34628006166724,50,2026-01-23T12:44:00Z
474594,6DB9015B-1D19-47C6-880C-9CA8DB42FF10,3780.0,4,,Chirakkal Bank EVCS,Kasargod Kannur Calicut Highway,Chirakkal,Kerala,670022,106,11.91670441912386,75.35830443320492,50,2026-01-23T12:42:00Z
474593,6437B8D8-2CC2-458F-8E74-64E26BDED1A6,3780.0,4,,VAN-V | EVOK | Panamaram,Mananthavady- Kalpetta Road,Panamaram,Kerala,673124,106,11.72574709855104,76.07767336604513,50,2026-01-23T12:38:00Z
474592,31643BE5-DF6C-4FBA-AD8F-715BAFA99F68,3780.0,4,,JetEV Nest Developers | Kambalakkad,Mananthavady- Kalpetta Road,Kamabalakkad,Kerala,673122,106,11.6678126676712,76.07946996948226,50,2026-01-23T12:36:00Z
474589,8FED26B4-DB7F-4B27-9FB4-E57FAD5D0C54,3780.0,4,,Ecozone EVCS | Ulliyeri,Kuttiyadi Road,Ulliyeri,Kerala,673315,106,11.446514859247145,75.77262022445586,50,2026-01-23T12:29:00Z
474587,5FA22171-5F6B-4B6A-936E-07EEB1107122,3780.0,4,,Flash Charge EVCS | Thirivangoor,NH 66 - Kozhikode Bypass`,Thirivangoor,None,673304,106,11.38212989549119,75.73661185868718,50,2026-01-23T12:19:00Z
474585,AB8304AA-FC67-4A51-91FC-6312BABB5215,3780.0,4,,Kairali EVCS | Vengalam,Kannur Road,Vengalam,Kerala,673318,106,11.364746011174972,75.73944992877182,50,2026-01-23T12:13:00Z
474584,BFBD8F81-70F7-4223-A388-D88DE25809E7,3780.0,4,,EVM Citroen Calicut,Kannur Road,Kozhikode,Kerala,673005,106,11.30428542732038,75.75957892280337,50,2026-01-23T12:06:00Z
474582,E97F1A78-2AD9-4B85-A5F1-9F57A215F122,3780.0,4,,Shakti | EVOK Charging Hub,Chinmaya Road,Kozhikode,Kerala,673016,106,11.257841246701844,75.81018791903341,50,2026-01-23T12:03:00Z
474580,24CC24F3-5319-48E7-9A05-2651E4F107F2,3780.0,4,,EcoVolt EVCS | EVOK | Pantheerankavu,NH 66,Pantheerankavu,Kerala,673027,106,11.235354677733028,75.84566829942764,50,2026-01-23T12:01:00Z
474578,8F077AD4-6355-44B4-B9FD-0C2934131121,3780.0,4,,Bisluck Energy EVCS | Vattaparamba,Edavannapara - Kondotty Road,Edavannappara,Kerala,673648,106,11.16434134008496,75.96400736946612,50,2026-01-23T11:57:00Z
474576,A1454E95-B6C1-46B3-9595-3EB578A6E6E1,3780.0,4,,Elite EVOK Charging Hub | Perinthalmanna,Perinthalmanna-Mannarkkad-Palakkad Road,Perinthalmanna,Kerala,679322,106,10.977749605167759,76.242862885499,50,2026-01-23T11:52:00Z
474575,DCEA8508-9089-48C5-B04C-4595E812A6D9,3780.0,4,,Sam EVCV | Perinthalmanna,Valanchery Nilambur Road,Parinthalmanna,Kerala,679338,106,10.950358143496459,76.16323671441523,50,2026-01-23T11:49:00Z
474574,901DF2BD-C9DA-4A5D-AEB9-9844A7397DBC,3780.0,4,,BP Angadi | EVOK | Tirur,Tirur Chamravattom Road,Tirur,Kerala,676101,106,10.886313623740861,75.93057433099898,50,2026-01-23T11:46:00Z
474573,B5B9C6B0-799F-45A2-850A-0A28AFD0667F,3780.0,4,,EVee Buddy | Town Plug EVCS | Palakkad,Racket Court Road,Palakkad,Kerala,678001,106,10.76489386251312,76.65199428138283,50,2026-01-23T11:32:00Z
474571,43F898A7-2221-41AA-BDD2-8331D3509807,3780.0,4,,EVMOD EVCS | Pudussery,NH Service Road,Kanjikode,Kerala,678621,106,10.796990864937015,76.76440925644602,50,2026-01-23T11:30:00Z
474570,D57208E8-38F2-40F2-92B4-3A38B3B38B89,3780.0,4,,EVDay EVCS | Ottappalam | Manissery,Ottappalam-Kulapully-Shornur Road,Ottappalam,Kerala,679522,106,10.777715299374591,76.34122770419708,50,2026-01-23T11:27:00Z
474568,AF3AF65A-A6BA-4420-8499-C35592C36DC4,3780.0,4,,K4 EV Fast Charging Station,Thrissur – Kunnamkulam Road,Kunnamkulam,Kerala,680519,106,10.705220458256875,76.0892676022388,50,2026-01-23T11:24:00Z
474567,37DE2BC1-5BFA-4154-96B8-8EA08C3D0050,3780.0,4,,VKJ | Flash Charge EVCS | Chettuva,NH-66,Chettuva,Kerala,680569,106,10.521423220390915,76.05127900964453,50,2026-01-23T11:21:00Z
474565,03C173DB-7626-46FD-AB82-6522E8305328,3780.0,4,,Duke Communications | Pazhuvil,Thriprayar-Cherpu-Trissur Road,Pazhuvil,Kerala,680565,106,10.416437872608014,76.1536747860506,50,2026-01-23T11:19:00Z
474564,B48A95C1-CBEB-40C0-A8AB-82E3C8885A30,3780.0,4,,Amigo EV Charge Hub | Marygiri | Vadakkenchery,NH 544,Vadakkenchery,Kerala,678683,106,10.584055517894868,76.4358174230016,50,2026-01-23T11:16:00Z
474563,C5BCC2B6-0186-4014-AEDA-86B31926CF42,3780.0,4,,Turbo EV Charge Hub | Mannuthi Bypass,Thrissur - Mannuthy Road,Mannuthi,Kerala,680655,106,10.528605753564008,76.25562112844545,50,2026-01-23T11:11:00Z
474562,11FE7801-31A8-4A46-B429-E2C43EA6D1E1,3780.0,4,,EVOK Charging Hub | Mannuthy,Nila Road,Mannuthi,Kerala,680657,106,10.539559645990693,76.253916842178,50,2026-01-23T11:09:00Z
474561,5D7EF7CE-2662-4C84-8365-B34D43AC390B,3780.0,4,,M Star EVCS | Koorkenchery,Balya Kannamkulangara Road,Thrissur,Kerala,680021,106,10.511219802362845,76.21322686637518,50,2026-01-23T11:07:00Z
474560,49B0E583-55F0-4683-80F1-28EEE7D04E14,3780.0,4,,Irrai EVCS | Chalakka,Manjaly Athani Road,Chalakka,Kerala,683524,106,10.155044701593752,76.28093391543848,50,2026-01-23T10:35:00Z
474559,09E3198A-010A-4D9F-B87A-34AE908B044E,3780.0,4,,SK EVCS | Kizhakkambalam,Kizhakkambalam Ernakulam Road,Kizhakkambalam,Kerala,683562,106,10.036645889420939,76.41843031999929,50,2026-01-23T10:32:00Z
474558,6F8C2333-6FDC-446C-BFB4-2939F2807741,3780.0,4,,Jayalakshmi Silks EVCS | CAPGO | Vennala,Salem - Kochi - Kanyakumari Road,Vennala,Kerala,682025,106,10.003945576726636,76.3133535047184,50,2026-01-23T10:22:00Z
474557,D1100887-317C-41BE-ADAF-5387BF6496D6,3780.0,2,,Sunvolt DLF Riverside | Vyttila,Bund Road,Vyttila,Kerala,682019,106,9.959224022448979,76.31419020501517,50,2026-01-23T10:17:00Z
474556,30823865-2C39-4381-A0AB-36859EB6539B,3780.0,4,,Flash EVCS | Kundannoor,Kochi Dhanushkodi Road,Kundannoor,Kerala,682304,106,9.938719980937563,76.31830915617024,50,2026-01-23T10:15:00Z
474555,55BCFE71-BB76-4D2D-A6F0-E98A74042F47,3780.0,4,,Adithya Shree EVCS | Ponnamveli,Valamangalam Road,Cherthala,Kerala,688532,106,9.74323198081818,76.31942862417168,50,2026-01-23T10:12:00Z
474554,DB1BC380-783C-4F2E-A085-838F44C54583,3780.0,4,,EVee Buddy | Mangalath EVCS | Mangalathunada,Ernakulam - Thekkady Road,Kolenchery,Kerala,686689,106,10.016772858051837,76.50315706545018,50,2026-01-23T10:10:00Z
