connection_id,station_id,connection_type_id,level_id,power_kw,current_type_id,quantity,status_type_id
798920,475680,33,3.0,120.0,30.0,2.0,50.0
798921,475680,33,3.0,120.0,30.0,2.0,50.0
798898,475673,33,3.0,120.0,30.0,2.0,50.0
798894,475671,33,3.0,60.0,30.0,2.0,50.0
798872,475660,33,3.0,240.0,30.0,2.0,50.0
798873,475660,33,3.0,60.0,30.0,2.0,50.0
798874,475660,0,2.0,3.3,10.0,3.0,50.0
798867,475659,33,3.0,240.0,30.0,2.0,50.0
798868,475659,33,3.0,60.0,30.0,2.0,50.0
798869,475659,0,2.0,3.2,10.0,2.0,50.0
798607,475550,33,3.0,60.0,30.0,1.0,50.0
798513,475512,33,3.0,240.0,30.0,2.0,50.0
798514,475512,33,3.0,60.0,30.0,2.0,50.0
798515,475512,33,3.0,60.0,30.0,2.0,50.0
798291,475401,33,3.0,60.0,30.0,2.0,50.0
798134,475337,33,3.0,120.0,30.0,2.0,50.0
796564,474598,33,3.0,40.0,30.0,2.0,50.0
796562,474596,33,3.0,30.0,30.0,1.0,50.0
796561,474595,33,3.0,40.0,30.0,2.0,50.0
796560,474594,33,3.0,30.0,30.0,1.0,50.0
796558,474593,33,3.0,60.0,30.0,2.0,50.0
796557,474592,33,3.0,30.0,30.0,1.0,50.0
796553,474589,33,3.0,30.0,30.0,1.0,50.0
796550,474587,33,3.0,25.0,30.0,1.0,50.0
796547,474585,33,3.0,60.0,30.0,2.0,50.0
796546,474584,33,3.0,30.0,30.0,1.0,50.0
796543,474582,33,3.0,90.0,30.0,2.0,50.0
796540,474580,33,3.0,60.0,30.0,2.0,50.0
796537,474578,33,3.0,60.0,30.0,2.0,50.0
796532,474576,33,3.0,60.0,30.0,2.0,50.0
796531,474575,33,3.0,20.0,30.0,1.0,50.0
796530,474574,33,3.0,30.0,30.0,1.0,50.0
796529,474573,33,3.0,30.0,30.0,1.0,50.0
796527,474571,33,3.0,60.0,30.0,2.0,50.0
796526,474570,33,3.0,45.0,30.0,2.0,50.0
796524,474568,33,3.0,60.0,30.0,2.0,50.0
796523,474567,33,3.0,60.0,30.0,2.0,50.0
796520,474565,33,3.0,30.0,30.0,1.0,50.0
796519,474564,33,3.0,30.0,30.0,1.0,50.0
796518,474563,33,3.0,40.0,30.0,2.0,50.0
796517,474562,33,3.0,30.0,30.0,1.0,50.0
796516,474561,33,3.0,50.0,30.0,2.0,50.0
796515,474560,33,3.0,30.0,30.0,1.0,50.0
796513,474559,33,3.0,60.0,30.0,2.0,50.0
796514,474559,1036,2.0,22.0,20.0,1.0,50.0
796510,474558,33,3.0,60.0,30.0,2.0,50.0
796511,474558,33,3.0,60.0,30.0,2.0,50.0
796509,474557,33,3.0,30.0,30.0,1.0,50.0
796508,474556,33,3.0,30.0,30.0,1.0,50.0
796507,474555,33,3.0,30.0,30.0,2.0,50.0
796506,474554,33,3.0,30.0,30.0,1.0,50.0
796505,474553,33,3.0,60.0,30.0,2.0,50.0
796504,474552,33,3.0,30.0,30.0,1.0,50.0
796502,474550,33,3.0,80.0,30.0,2.0,50.0
796501,474549,33,3.0,90.0,30.0,2.0,50.0
796500,474548,33,3.0,30.0,30.0,1.0,50.0
796499,474547,33,3.0,30.0,30.0,1.0,50.0
796498,474546,33,3.0,30.0,30.0,1.0,50.0
796497,474545,33,3.0,20.0,30.0,1.0,50.0
796496,474544,33,3.0,60.0,30.0,2.0,50.0
796495,474543,33,3.0,40.0,30.0,2.0,50.0
796494,474542,33,3.0,60.0,30.0,2.0,50.0
796492,474541,33,3.0,30.0,30.0,1.0,50.0
796491,474540,33,3.0,90.0,30.0,2.0,50.0
796490,474539,33,3.0,60.0,30.0,2.0,50.0
796489,474538,33,3.0,80.0,30.0,2.0,50.0
796365,474478,33,3.0,30.0,30.0,1.0,50.0
796364,474477,33,3.0,30.0,30.0,1.0,50.0
796363,474476,33,3.0,30.0,30.0,1.0,50.0
796362,474475,33,3.0,30.0,30.0,1.0,50.0
796360,474474,33,3.0,90.0,30.0,2.0,50.0
796359,474473,33,3.0,90.0,30.0,2.0,50.0
796357,474472,33,3.0,30.0,30.0,1.0,50.0
796355,474471,33,3.0,30.0,30.0,1.0,50.0
796356,474471,33,3.0,30.0,30.0,1.0,50.0
796353,474470,33,3.0,50.0,30.0,2.0,50.0
796350,474468,33,3.0,90.0,30.0,2.0,50.0
796351,474468,1036,2.0,7.4,20.0,1.0,50.0
796349,474467,33,3.0,90.0,30.0,2.0,50.0
796348,474466,33,3.0,90.0,30.0,2.0,50.0
796347,474465,33,3.0,45.0,30.0,1.0,50.0
796346,474464,33,3.0,80.0,30.0,2.0,50.0
796345,474463,33,3.0,90.0,30.0,2.0,50.0
796344,474462,33,3.0,20.0,30.0,1.0,50.0
796129,474366,33,3.0,30.0,30.0,2.0,50.0
796128,474365,33,3.0,30.0,30.0,2.0,50.0
796127,474364,33,3.0,60.0,30.0,2.0,50.0
796126,474363,33,2.0,24.0,,1.0,50.0
795734,474191,33,3.0,60.0,30.0,2.0,50.0
794578,473117,33,3.0,30.0,30.0,1.0,50.0
794404,473032,33,3.0,60.0,30.0,2.0,50.0
794402,473031,33,3.0,60.0,30.0,2.0,50.0
794403,473031,33,3.0,30.0,30.0,1.0,50.0
794002,472820,33,3.0,30.0,30.0,1.0,50.0
793976,472811,33,3.0,120.0,30.0,2.0,50.0
793977,472811,33,3.0,120.0,30.0,2.0,50.0
793974,472810,33,3.0,60.0,30.0,2.0,50.0
793975,472810,33,3.0,120.0,30.0,2.0,50.0
793970,472808,33,3.0,120.0,30.0,2.0,50.0
793953,472798,33,3.0,30.0,30.0,1.0,50.0
793532,472532,33,1.0,30.0,10.0,1.0,50.0
793491,472508,33,,,10.0,1.0,50.0
793373,472439,33,3.0,120.0,30.0,2.0,50.0
793163,472327,33,3.0,60.0,30.0,4.0,50.0
793162,472326,33,3.0,30.0,30.0,1.0,50.0
792666,471993,33,3.0,60.0,30.0,2.0,50.0
792667,471993,33,3.0,30.0,30.0,1.0,50.0
792665,471992,33,3.0,60.0,30.0,2.0,50.0
792664,471991,33,3.0,60.0,30.0,2.0,50.0
792662,471989,33,3.0,60.0,30.0,2.0,50.0
792484,471855,33,3.0,60.0,30.0,2.0,50.0
792482,471854,33,3.0,60.0,30.0,2.0,50.0
792481,471853,33,3.0,60.0,30.0,2.0,50.0
791080,471003,33,3.0,160.0,30.0,2.0,50.0
791081,471003,33,3.0,60.0,30.0,2.0,50.0
791082,471003,1036,2.0,7.4,,1.0,50.0
791083,471003,25,2.0,3.3,,1.0,50.0
790918,470897,33,3.0,60.0,30.0,2.0,50.0
790757,470760,33,3.0,120.0,30.0,2.0,50.0
790676,470710,33,3.0,60.0,30.0,2.0,50.0
790675,470709,33,3.0,60.0,30.0,2.0,50.0
788553,469744,33,3.0,60.0,30.0,2.0,50.0
788551,469742,33,3.0,60.0,30.0,1.0,50.0
788101,469522,33,3.0,60.0,30.0,2.0,50.0
788094,469517,1036,,15.0,30.0,1.0,50.0
788061,469488,33,3.0,60.0,30.0,2.0,50.0
788059,469487,33,3.0,60.0,30.0,1.0,50.0
788060,469487,33,3.0,60.0,30.0,1.0,50.0
787921,469384,33,3.0,30.0,30.0,1.0,50.0
787920,469383,33,3.0,30.0,30.0,1.0,30.0
787919,469382,33,3.0,60.0,30.0,2.0,50.0
787918,469381,33,2.0,24.0,,1.0,50.0
787917,469380,33,,,30.0,1.0,30.0
787873,469357,33,3.0,30.0,30.0,1.0,50.0
787874,469357,1036,2.0,7.0,20.0,1.0,50.0
787872,469356,33,3.0,118.0,30.0,2.0,50.0
787871,469355,33,3.0,60.0,30.0,2.0,50.0
787870,469354,33,3.0,30.0,30.0,1.0,50.0
787869,469353,33,3.0,60.0,30.0,2.0,50.0
782214,464561,33,3.0,60.0,30.0,2.0,30.0
782213,464560,33,3.0,60.0,30.0,2.0,50.0
782212,464559,33,3.0,30.0,30.0,1.0,30.0
782163,464531,33,3.0,1200.0,30.0,9.0,50.0
782162,464530,33,3.0,120.0,30.0,8.0,50.0
781942,464405,33,3.0,60.0,30.0,1.0,50.0
777737,462394,33,3.0,30.0,30.0,1.0,50.0
777738,462394,1,2.0,7.3,10.0,1.0,50.0
777711,462380,33,3.0,120.0,30.0,2.0,50.0
776020,461277,33,1.0,1.0,10.0,1.0,50.0
775842,461160,33,3.0,25.0,30.0,1.0,50.0
775843,461160,2,3.0,25.0,30.0,1.0,50.0
775628,461021,33,3.0,25.0,30.0,1.0,50.0
775629,461021,2,3.0,25.0,30.0,1.0,50.0
775600,461004,33,3.0,30.0,30.0,1.0,50.0
775513,460962,33,3.0,120.0,30.0,2.0,50.0
775510,460960,33,3.0,25.0,30.0,1.0,50.0
774982,460636,33,3.0,30.0,30.0,2.0,50.0
774727,460478,33,3.0,120.0,30.0,2.0,50.0
774981,460478,33,3.0,30.0,30.0,2.0,50.0
774225,460205,0,,,,1.0,50.0
773940,459990,33,3.0,60.0,30.0,2.0,50.0
771426,458918,33,3.0,60.0,30.0,2.0,50.0
771425,458917,33,3.0,30.0,30.0,1.0,50.0
771424,458916,33,3.0,60.0,30.0,2.0,50.0
771423,458915,33,3.0,30.0,30.0,1.0,50.0
771422,458914,33,3.0,30.0,30.0,1.0,50.0
771421,458913,33,3.0,30.0,30.0,1.0,50.0
771420,458912,33,3.0,30.0,30.0,1.0,50.0
771419,458911,33,3.0,30.0,30.0,1.0,50.0
771417,458910,33,3.0,30.0,30.0,1.0,50.0
771418,458910,2,3.0,30.0,30.0,1.0,50.0
771416,458909,33,3.0,30.0,30.0,1.0,50.0
771415,458908,33,3.0,25.0,30.0,1.0,50.0
771414,458907,33,3.0,60.0,30.0,2.0,50.0
771413,458906,33,3.0,30.0,30.0,1.0,50.0
771411,458905,33,3.0,25.0,30.0,1.0,50.0
771412,458905,33,3.0,25.0,30.0,1.0,50.0
771409,458904,33,3.0,25.0,30.0,1.0,50.0
771410,458904,1036,2.0,7.4,20.0,1.0,50.0
604675,314018,33,3.0,30.0,30.0,1.0,50.0
604645,313995,33,3.0,25.0,30.0,1.0,50.0
604644,313994,33,3.0,30.0,30.0,1.0,50.0
604643,313993,33,3.0,30.0,30.0,1.0,50.0
604642,313992,33,3.0,30.0,30.0,1.0,50.0
604641,313991,33,3.0,60.0,30.0,2.0,50.0
604640,313990,33,3.0,30.0,30.0,1.0,50.0
604638,313989,33,3.0,25.0,30.0,1.0,50.0
604639,313989,1036,2.0,7.4,20.0,1.0,50.0
604637,313988,33,3.0,60.0,30.0,2.0,50.0
604627,313980,33,3.0,30.0,30.0,1.0,50.0
604626,313979,33,3.0,30.0,30.0,1.0,50.0
604625,313978,33,3.0,60.0,30.0,2.0,50.0
604582,313955,33,3.0,25.0,30.0,1.0,50.0
604583,313955,33,3.0,25.0,30.0,1.0,50.0
604581,313954,33,3.0,30.0,30.0,1.0,50.0
604580,313953,33,3.0,30.0,30.0,1.0,50.0
604577,313952,33,3.0,25.0,30.0,1.0,50.0
604578,313952,1040,,3.3,30.0,3.0,50.0
604579,313952,1036,2.0,7.4,20.0,1.0,50.0
604575,313951,33,3.0,25.0,30.0,1.0,50.0
604576,313951,1036,2.0,7.4,20.0,1.0,50.0
604574,313950,33,3.0,30.0,30.0,2.0,50.0
604573,313949,1036,2.0,7.4,20.0,2.0,50.0
604570,313947,33,3.0,25.0,30.0,1.0,50.0
604569,313946,33,3.0,30.0,30.0,1.0,50.0
604568,313945,33,3.0,60.0,30.0,2.0,50.0
604567,313944,33,3.0,30.0,30.0,1.0,50.0
604565,313943,33,3.0,30.0,30.0,1.0,50.0
604566,313943,1036,2.0,7.4,20.0,1.0,50.0
604564,313942,33,3.0,30.0,30.0,1.0,50.0
604563,313941,33,3.0,30.0,30.0,1.0,50.0
